Experiment,num_candidates,PDC,perplexity,num_distinct_1grams,num_distinct_2grams,entropy_2grams,entropy_4grams
random_sampling_temp0.5,10,No,52.458,0.538,0.704,3.843,3.700
random_sampling_temp0.5,100,No,51.400,0.502,0.631,3.465,3.198
random_sampling_temp0.5,100,Yes,51.400,0.571,0.703,3.654,3.341
,,,,,,,
random_sampling_temp0.7,10,No,35.979,0.632,0.797,4.082,3.840
random_sampling_temp0.7,100,No,35.795,0.533,0.677,3.558,3.201
random_sampling_temp0.7,100,Yes,35.795,0.635,0.759,3.747,3.309
,,,,,,,
random_sampling_temp1.0,10,No,67.992,0.738,0.870,4.348,4.077
random_sampling_temp1.0,100,No,63.973,0.628,0.761,3.731,3.268
random_sampling_temp1.0,100,Yes,63.973,0.726,0.810,3.858,3.362
,,,,,,,
random_sampling_temp1.0_top10,10,No,10.333,0.604,0.798,4.124,3.907
random_sampling_temp1.0_top100,100,No,10.379,0.524,0.676,3.538,3.179
random_sampling_temp1.0_top100,100,Yes,10.379,0.632,0.764,3.738,3.274
,,,,,,,
standard_beam_search_bs10,10,No,4.010,0.373,0.455,3.156,3.007
standard_beam_search_bs100,100,No,4.637,0.437,0.607,3.330,3.047
standard_beam_search_bs100,100,Yes,4.637,0.568,0.698,3.586,3.215
,,,,,,,
beam_search_bs10_kpercand3,10,No,4.025,0.372,0.458,3.172,3.027
beam_search_bs100_kpercand3,100,No,4.800,0.429,0.601,3.318,3.046
beam_search_bs100_kpercand3,100,Yes,4.800,0.599,0.700,3.587,3.205
,,,,,,,
clustering_beam_search_bs10_cbs5,10,No,4.234,0.388,0.465,3.236,3.061
clustering_beam_search_bs100_cbs5,100,No,4.646,0.437,0.605,3.330,3.049
clustering_beam_search_bs100_cbs5,100,Yes,4.646,0.580,0.709,3.619,3.234
,,,,,,,
diverse_beam_search_bs10_dbs0.8,10,No,4.559,0.331,0.372,3.084,3.001
diverse_beam_search_bs100_dbs0.8,100,No,7.831,0.197,0.204,2.659,2.522
diverse_beam_search_bs100_dbs0.8,100,Yes,7.831,0.173,0.203,3.160,3.186
,,,,,,,
iterative_beam_search_bs5_ibs10,10,No,5.420,0.618,0.738,3.682,3.246
iterative_beam_search_bs5_ibs100,100,No,11.413,0.663,0.744,3.621,3.071
iterative_beam_search_bs5_ibs100,100,Yes,11.413,0.730,0.767,3.665,3.088
,,,,,,,
standard_beam_search_bs10_npad0.3,10,No,4.053,0.356,0.440,3.126,2.990
standard_beam_search_bs100_npad0.3,100,No,4.707,0.424,0.599,3.323,3.052
standard_beam_search_bs100_npad0.3,100,Yes,4.707,0.558,0.689,3.569,3.228